BCN,49,15,4,2,21,58,21,37
ATL,44,12,8,1,21,32,13,19
RMA,39,12,3,6,21,34,26,8
SEV,36,10,6,5,21,36,22,14
ALV,32,9,5,7,21,22,24,-2
GET,31,8,7,6,21,25,18,7
VAL,29,6,11,4,21,22,18,4
BET,29,8,5,8,21,25,26,-1
RSO,27,7,6,8,21,25,24,1
EIB,26,6,8,7,21,26,30,-4
ATH,26,5,11,5,21,22,26,-4
LEV,26,7,5,9,21,32,40,-8
RVA,25,6,7,8,21,19,24,-5
GIR,24,5,9,7,21,23,28,-5
ESP,24,7,3,11,21,23,34,-11
LEG,23,5,8,8,21,20,26,-6
RAY,23,6,5,10,21,25,36,-11
CLV,21,5,6,10,21,33,36,-3
VIL,18,3,9,9,21,21,29,-8
HSC,12,2,6,13,21,17,39,-22
